Marca temporal,"Imagine que está en una conferencia de Educación. Un colega que trabaja en otra Institución Educativa le pregunta si recientemente probó algo diferente con sus alumnos que produjo resultados positivos, negativos, interesantes o mixtos.  Comparta aquí lo que le contaría a su colega:",Sugiera un #hashtag o título para su respuesta anterior:,P1 Mi experiencia produjo…,Pensando en la experiencia/ejemplo que compartí…Me enfoqué en…,Mi foco estuvo en cultivar en los estudiantes…,Los estudiantes aprenden a través de…,Lo que hice fue a pesar de…, Las decisiones fueron influenciadas por…,Mi papel como maestro fue…,Pensando en la experiencia/ejemplo que acabo de compartir… A los estudiantes de les animó a aprender…,El aprendizaje fue…,Las decisiones fueron influenciadas por…,Institución Educativa,Tipo,Esta situación me generó una sensación de…, Esta situación pasa…,Esta situación está relacionada con…,Grado en el que enseña, Género, Edad, El nivel de educación
10/19/2020 11:30:21,"un día los alumnos de 8° se me acercaron diciendo que sentían que las clases de matemáticas no  estaban llenando las expectativas y que consideraban que no era justo porque la matemática era muy importante y sentían que se perdían de algo, lo único que les pude aconsejar es que siguieran el conducto regular , para poner en conocimiento a las directivas.",#derecho a una buen educación.,Resultados mixtos,El desarrollo social del alumno,,Reflexionar y comprender,Las restricciones de tiempo,Maestros y rectores,Dar soporte emocional a los estudiantes,Socialmente/en grupo,Liderado por el maestro,Prácticas establecidas,I.E JUVENIL NUEVO FUTURO,,,,,,,,
10/19/2020 11:30:34,"siempre al iniciar el año suelo decirle al grupo que recibe mi acompañamiento como director de grupo que este año se tienen que esforzar mucho porque mi grupo siempre es el mejor,  esto los motiva y de una u otra manera forman entre ellos grupos de apoyo que los lleva a ser los mejores y no ser una de las excepciones;  propiciando un trabajo colaborativo afianzado en la motivación y el reconocimiento.","""Somos los mejores""",Resultados interesantes,Estimular el aprendizaje y transmitir prácticas,Habilidades de vida prácticas/pensando en futura empleabilidad,Aplicar lo aprendido haciendo cosas concretas,Las restricciones de tiempo,Maestros y rectores,Dar soporte emocional a los estudiantes,Socialmente/en grupo,Liderado por el estudiante,Necesidades emergentes,I.E JUVENIL NUEVO FUTURO,,,,,,,,
10/19/2020 11:31:15,"Compañero constantemente encuentro en el grupo estudiantes que agreden a sus compañeros tanto física como verbalmente, lo cual afecta la convivencia en el aula y esto hace que se tenga que cambiar la dinámica y estrategias para trabajar lo planeado académicamente, ya que las conductas de maltrato entre iguales deterioran la armonía escolar.
Se dialogar tanto con los estudiantes implicados como con todo el grupo con el fin de encontrar el motivo del problema  y al mismo tiempo posibles soluciones.
También en algunos casos se citan a los acudientes con el fin de identificar las dinámicas familiares y quizás reconocer los  motivos por los cuales se comportan así. 
Cada dificultad de convivencia que se presenta se dialoga con el grupo, para establecer acuerdos, con los implicados para conocer los motivos y llevar a la reflexión, con los familias para buscar apoyo y correctivos y si la situación persiste con los directivos. ",Buscando soluciones,Resultados mixtos,El desarrollo social del alumno,Comprensión del mundo que los rodea,Reflexionar y comprender,Habilidades y capacitación,Estudiantes y padres,Dar soporte emocional a los estudiantes,Socialmente/en grupo,Liderado por el maestro,Prácticas establecidas,I.E JUVENIL NUEVO FUTURO,,,,,,,,
10/19/2020 11:31:59,"En el aula se presenta un conflicto entre dos estudiantes. La forma de mediar entre ellos es escuchar primero a los afectados. Luego dialogan entre ellos hasta solucionar, ellos mismos, la situación. Esto me ha dado un buen resultado.",Solución de problemas por medio del diálogo,Resultados positivos,El desarrollo social del alumno,Habilidades de vida prácticas/pensando en futura empleabilidad,Reflexionar y comprender,Habilidades y capacitación,Maestros y rectores,Dar soporte emocional a los estudiantes,Socialmente/en grupo,Liderado por el estudiante,Prácticas establecidas,I.E JUVENIL NUEVO FUTURO,,,,,,,,
10/19/2020 11:32:14,"Una de los retos en educación escolar es promover la atención de los estudiantes y favorecer los procesos de convivencia.  En la Institución, durante la presencialidad, cada semana se realizan formaciones; un espacio donde se reúne a todos los estudiantes y se comparte información de tipo institucional , se desarrollan acciones formativas orientadas al desarrollo de un ambiente escolar sano. Los estudiantes tienden a dispersarse en principio por ser inicio de semana, reecontrarse con sus compañeros, contar sus experiencias,...No obstante, se ha probado que cuando estas intervenciones vienen acompañadas de una historia contextualizada a la vida escolar y se les ambienta con sonidos de voz o cambios de voces se captura la atención. Es una estrategia que logra dos asuntos: concentrar a los estudiantes de una forma fácil y generar un aprendizaje desde la narrativa que se realiza. En lugar de contar formalmente un evento que afecto la convivencia, esta se hace historia y se exagera con sonidos (plooppp, Bommm), exageraciones (corrio y corrio, ufff) y luego se pregunta a los estudiantes que hubiera pasado Si... El humano es un ser de historias, de ahí que estas pueden ser una experiencia chevere en procesos formativos. ",#convive_historiascontadas,Resultados positivos,El desarrollo social del alumno,Comprensión del mundo que los rodea,Experimentar y crear,Las restricciones de tiempo,Maestros y rectores,Abrir nuevos mundos para los estudiantes,Socialmente/en grupo,Liderado por el estudiante,Prácticas establecidas,I.E JUVENIL NUEVO FUTURO,,,,,,,,
10/19/2020 11:33:35,"En el proceso de mi labor educativa he encontrado en algunos estudiantes cierta resistencia o desmotivacion por el estudio, esto por varias razones, entre ellas el poco acompañamiento familiar o dificultades económicas o de bullying entre los mismos compañeros, por esto he visto la necesidad de buscar algunas alternativas de solución, entre ellas: Encuentros con la familia, escuchar al estudiante (catarsis), comunicación permanente, estrategias lúdicas de atención, clases divertidas, implementación de variadas metodologías entre otras.",La mejor opción ,Resultados interesantes,El desarrollo social del alumno,Habilidades de vida prácticas/pensando en futura empleabilidad,Reflexionar y comprender,Habilidades y capacitación,Estudiantes y padres,Abrir nuevos mundos para los estudiantes,Socialmente/en grupo,Liderado por el maestro,Necesidades emergentes,I.E JUVENIL NUEVO FUTURO,,,,,,,,
10/19/2020 11:34:20,"En el grado octavo se presentó una situación  un poco particular, un estudiante decide sacar su celular sin autorización en el aula de clase para tomarle  una foto a una de sus compañeras, ella se percata de dicha situación y reaciona de una forma muy alterada, se incorpora de su puesto y se extiende a llorar, la docente interviene inmediatamente, dialogando con el joven por dicha situación y suspende la clase para hacer una reflexión frente a la problemática; el cual los estudiantes estuvieron receptivos y comprendieron de la magnitud del problema ya que es poco decoroso hacer esto sin la debida autorización de la alumna y más aun en medio de una clase.
Se es necesario hacer un debido proceso al estudiante por dicho comportamiento y una  reflexión que lo conlleve a pensar en lo que aquella estudiante pudo sentir en el momento y que no era lo más decoroso.
A demas, se debe notificar a su acudiente para evitar se presente dichos comportamientos. ",,Resultados positivos,Estimular el aprendizaje y transmitir prácticas,Buenas bases de comprensión para futuros aprendizajes,Reflexionar y comprender,Habilidades y capacitación,,Abrir nuevos mundos para los estudiantes,Socialmente/en grupo,Liderado por el maestro,Necesidades emergentes,I.E JUVENIL NUEVO FUTURO,,,,,,,,
10/19/2020 11:35:19,"En mi clase de inglés estaban mis estudiantes de Noveno grado presentando una prueba de acreditación. En un momento de la prueba, dos estudiantes estaban diciéndose las respuestas de manera de manera confiada y descarada. Yo me les acerqué y les pedí que me entregaran el examen. Ambos se vieron preocupados por las implicaciones de no poder presentar un examen con un valor del 20% para la materia. Me preguntaron que iba yo a proceder para el caso de la anulación del examen y la nota que les asignaría. Les dije que mas tarde, al terminar todos el examen, hablaríamos. Efectivamente, cuando terminó el examen los llamé y les propuse lo siguiente: Como estaban balando tan tranquilamente sobre las respuestas del examen, van a preparar una conversación de 5 minutos con uno de los temas que enfocaba una pregunta del examen. Una de esas preguntas era sobre lo que hicieron en las ultimas vacaciones. Debian prepararla y y sentarse en la clase siguiente, al frente del grupo y presentar su entrevista. La nota que se les asignaría en el examen se les anuló, seria la que el profesor, los otros estudiantes del grupo  y ellos mismos decidieran que era la justa.",LAS CONSECUENCIAS DE HACER TRAMPA EN UN EXAMEN DE INGLES.,Resultados positivos,El desarrollo social del alumno,Buenas bases de comprensión para futuros aprendizajes,Reflexionar y comprender,Las restricciones de tiempo,Maestros y rectores,Ayudar a los estudiantes a alcanzar los objetivos,Socialmente/en grupo,Liderado por el maestro,Necesidades emergentes,I.E JUVENIL NUEVO FUTURO,,,,,,,,
10/19/2020 11:38:59,"Desde la media técnica se trabajó con los estudiantes de 11°1 el rediseño del manual de convivencia y elaboración del manual de marca institucional, donde se desarrolló la metodología de trabajo colaborativo y aprendizaje basado en proyectos, haciendo entrega de unos productos visuales que quedarían en la institución para la utilización correcta de la imagen en formatos digitales e impresos. La dinámica de trabajo se hizo bajo la división de responsabilidades en subgrupos, los cuales tenían como objetivo aportar un resultado e información a todo el proceso, como por ejemplo; Los ilustradores se encargaron de bocetar la ideas, los ilustradores digitalizar en programas de diseño las ideas realizadas por los boceteadores, los diagramadores se encargaron de recopilar la información textual y gráfica para la organización de la información que fuera de fácil lectura, los diseñadores de tablas de encargaron de proponer nuevos diseños para las tablas implícitas en el propio manual y los directores finalmente eran los responsables de recopilar, revisar y solicitar la corrección a los grupos que hubiese lugar para así hacer un filtro de la buena información.
En el manual de marcar se tuvo un grupo de trabajando de forma muy autónoma, pero el cual debía estar regido y sustentado desde todos los diseños propuestos en la misión, visión, símbolos institucionales, valores, entre otros.
Este grupo de trabajo fue quien determinó la tipografía, paletas de colores y uso adecuado del logo institucional en el rediseño del manual de convivencia. 
",#DiseñoJuvenil,Resultados positivos,Estimular el aprendizaje y transmitir prácticas,Habilidades de vida prácticas/pensando en futura empleabilidad,Aplicar lo aprendido haciendo cosas concretas,"Recursos educativos (ej.. tecnología, fondos, etc.)",Maestros y rectores,Ayudar a los estudiantes a alcanzar los objetivos,Socialmente/en grupo,Liderado por el estudiante,Necesidades emergentes,I.E JUVENIL NUEVO FUTURO,,,,,,,,
10/19/2020 11:39:18,"He realizado un trabajo en un grupo, donde los estudiante se unieron tres máximo cuatro, fueron autónomos en prepara un concepto que entendieran bien en mi área (matemáticas) vistos en años anteriores o recientemente y lo compartieran con sus compañeros, utilizando cualquier estrategia.",Compartir conocimientos,Resultados mixtos,Estimular el aprendizaje y transmitir prácticas,Comprensión del mundo que los rodea,Experimentar y crear,Las restricciones de tiempo,Maestros y rectores,Ayudar a los estudiantes a alcanzar los objetivos,Individual/independientemente,Liderado por el estudiante,Necesidades emergentes,I.E JUVENIL NUEVO FUTURO,,,,,,,,
10/19/2020 11:39:44,"Una estudiante de cuarto grado de primaria que presenta abandono familiar por trabajo de los padres en horarios laborales demasiado extensos, el niño debe valerse por si mismo durante todas las horas del día e incluso despacharse sus alimentos, calentarlos, abastecerse  e ir sólo a la Institución, lo que le provoco las siguientes situaciones:  La primera es que el niño asiste a la institución sin  ningún hábito de higiene, lo que genera el rechazo en los compañeros por los malos olores adquieridos debido a esta práctica, la segunda su rendimiento acaémico es muy bajo  y tercero y mas grave es que  el niño por regresar a su casa sólo lo atropeyo un carro y gracias  a Dios  aunque fue grave no tuvo consecuencias fatales.
Se utilizaron estrategias cómo:
Hablar con el niño para conocer  sus condiciones familiares y saber el por que  de su situación.
Citación a los Padres de familia para informarles de la situación del niño en la institución y realizar compromiso de estos para que se vinculen mas al proceso de aprendizaje de los niños, lo que permitio que el niño cambiara  sus hábitos de aseo.
Dialogo con el grupo y actividad  sobre la tolerancia y el repeto hacia los compañeros para que comprendieran y  se generara el respeto entre ellos.
Lo que facilito que todos lo acogieran y quisieran compartir con el niño y colaborarle en su proceso de aprendizaje.
Se remite  con informe completo a la psicologa del colegio para que el estudiante tenga una asistencia mas efectiva.",# los niños abandonados,Resultados interesantes,El desarrollo social del alumno,Comprensión del mundo que los rodea,Reflexionar y comprender,Habilidades y capacitación,Maestros y rectores,Dar soporte emocional a los estudiantes,Socialmente/en grupo,,Necesidades emergentes,I.E JUVENIL NUEVO FUTURO,,,,,,,,
10/19/2020 11:40:34,"EN UNA OCASIÓN, ME ENCONTRABA EN MI CLASE DEL AREA DE INGLES, TENÍAMOS COMO TEMA LOS ANIMALES ACUÁTICOS Y TERRESTRES, CON ANTELACIÓN LES HABIA PEDIDO CIERTOS MATERIALES PARA EL DESARROLLO DE LA CLASE, CONSTRUIMOS LOS ANIMALES, PINTAMOS CON VINILOS, AGREGAMOS HASTA SUS OJITOS Y EN FIN , LOS CHICOS SE DIVIRTIERON Y SE PERCATARON DE CONTESTAR LAS PREGUNTAS DE LA CLASE EN INGLES ¿CUAL ES TU ANIMAL FAVORITO? ES UN ANIMAL ACUÁTICO O TERRESTRE? CUAL ES EL COLOR DEL ANIMAL? ENTRE OTRAS.",MY FAVORITE ANIMAL,Resultados interesantes,Estimular el aprendizaje y transmitir prácticas,Habilidades de vida prácticas/pensando en futura empleabilidad,Aplicar lo aprendido haciendo cosas concretas,Las restricciones de tiempo,Maestros y rectores,Ayudar a los estudiantes a alcanzar los objetivos,Socialmente/en grupo,Liderado por el maestro,Prácticas establecidas,I.E JUVENIL NUEVO FUTURO,,,,,,,,
10/19/2020 11:43:29,"En  nuestra  Institución se presenta  manejo inadecuado de los residuos sólidos, principalmente en su disposición final; por tanto  se requiere fortalecer acciones amigables con nuestro entorno para favorecer el cuidado y preservación del medio ambiente y para ello se  está implementando una estrategia mediada por las Tic para crear conciencia ambiental en el manejo de los residuos e ir más allá de las  campañas o actividades  que se realizan en fechas determinadas. La herramienta seleccionada fue el Clasroom que por  la situación actual en el mundo por el Covid, no se pudo llevar a cabo en la presencialidad y esta herramienta   permitió desarrollar las actividades de forma divertida, colaborativa y significativa donde los estudiantes que participaron  libremente   reconocen la importancia de realizar este proyecto con toda la comunidad educativa para generar cambios  reflexivos y positivos en torno al medio ambiente.",#CompromisoAmbiental,Resultados interesantes,Estimular el aprendizaje y transmitir prácticas,Comprensión del mundo que los rodea,Aplicar lo aprendido haciendo cosas concretas,Las restricciones de tiempo,Maestros y rectores,Abrir nuevos mundos para los estudiantes,Socialmente/en grupo,Liderado por el maestro,Prácticas establecidas,I.E JUVENIL NUEVO FUTURO,,,,,,,,
10/19/2020 11:43:33,"dos alumnas de grado séptimo, se odian desde años anteriores la una se considera bonita por su cuerpo, ojos claros y forma agraciada de su cara y es popular ante los chicos, la otra es  gordita y  se siente  feíta según los cánones sociales en función de la otra popular entre los chicos.  la niña con baja autoestima le  escribe por facebook y critica las fotos de la otra y su proceder tildándola de  fufa y de fácil ante los chicos, lanza insultos diciendo que huele maluco y que su ropa es sucia entre otras cosas, la llama en  clase la huele-maluco. la otra alumna la que se cree bonita le dice gorda fea, que haga dieta y pone la queja ante el director de grupo que la está intimidando por facebook. la profesora las reúne a las dos y les dice que  por favor se pidan disculpas que a ninguna le gusta que le digan que huele maluco y la otra que no le gusta que le digan gorda, inmediatamente interpela la niña con alta autoestima que para que no hace dietas y se organiza mejor, la otra contesta que  es mejor ser fea que fácil para los chicos y se  agarran nuevamente a insultos. se hacen las respectivas anotaciones. luego días después en el facebook no cesan los insultos de la niña  con poca autoestima y reta a la otra a salir a pelear por fuera del colegio. la otra niña entonces recurre nuevamente al profesor quien pone a la coordinación al tanto y  pone a hablar las niñas con la coordinación y entrega el problema a esa instancia. en los talleres de religión se  ponen talleres que tienen que ver con la belleza interior y la autoestima. y pone en ellos situaciones parecidas a las presentadas en dicho salón, las niñas al socializar dicen que no vale la pena que otra persona dicte juicios sobre otras, me gusta esa respuesta pero la niña bonita se siente acompañada por sus compañeros sobe todo hombres y victimizada por las niñas. que hacer para  tener contentas a ambas?",Influye la belleza en el desarrollo  de la vida? ,Resultados mixtos,El desarrollo social del alumno,Comprensión del mundo que los rodea,Reflexionar y comprender,"Recursos educativos (ej.. tecnología, fondos, etc.)",Estudiantes y padres,Dar soporte emocional a los estudiantes,Socialmente/en grupo,Liderado por el maestro,Necesidades emergentes,I.E JUVENIL NUEVO FUTURO,,,,,,,,
10/19/2020 11:47:46,"Tengo un estudiante que me hizo fraude en una actividad y al confrontarlo me niega la situación, aunque tengo las pruebas. Qué debo hacer?

Este caso, es una situación que afectan las normas disciplinarias y en el artículo 62, en el numeral 26 de nuestro manual de convivencia se tipifica el fraude escolar. 

Te puedes remitir al artículo 66 donde se define el procedimiento para este tipo de situaciones. Dando cumplimiento al debido proceso, debes citar  a los estudiantes implicados con sus acudientes, hacer la amonestación verbal e iniciar un proceso de mediación escolar (voluntario) donde se derivan unas acciones restaurativas (reflexión y análisis frente a la falta mediante alguna propuesta). En caso de ser un fraude reiterativo o de incumplirse los acuerdos de mediación se hace amonestación escrita, remite el caso a coordinación donde ya se inicia proceso disciplinario.

Es importante señalar que no se observa en los casos de fraude que a los estudiantes se debe asignar una actividad adicional para sustituir el trabajo objeto de fraude. Lo que si se debe garantizar es una propuesta reflexiva, dentro de lo restaurativo, en caso de que los estudiantes participen de la mediación pero esto no es evaluable. Por tanto, puede interpretarse que es discrecionalidad docente asignar una nueva actividad evaluativa como parte de acuerdo de mediación , de anular la actividad tanto a quien presto como copio, de sustentar el trabajo a quien lo realizó  y asignar nota mínima (3.5), entre otras opciones que a bien consideres.

Quise iniciar explicando el debido proceso, el cuál ya se ha aplicado con algunos estudiantes, cuando el educador hace bien su gestión, normalmente, el estudiante no es reiterativo en esta actitud, tenemos como ejemplo  dos alumnos del grado 6°, sus profesores hicieron reunión, reconocieron su falta, hicieron un trabajo adicional para recuperar la nota y expusieron en sus grupos las consecuencias de hacer fraude e hicieron un trabajo reflexivo con sus compañeros, donde los concientizaban de las acciones legales que tienen como consecuencia de no respetar los derechos de autor, los jóvenes continuaron muy bien su proceso. Caso contrario que sucedió con dos estudiantes de 8°, el docente simplemente anuló sus trabajos y no hubo ninguna acción restaurativa, por ende, volvieron a hacer fraude y fueron remitidos a coordinación, donde se le dio el manejo adecuado y acciones pedagógicas para concientizarlos y mejorar su proceso educativo y formativo.",Acciones restaurativas que concientizan a nuestros estudiantes,Resultados positivos,El desarrollo social del alumno,Comprensión del mundo que los rodea,Reflexionar y comprender,"Recursos educativos (ej.. tecnología, fondos, etc.)",La IE y la Secretaría,Abrir nuevos mundos para los estudiantes,Socialmente/en grupo,Liderado por el estudiante,Necesidades emergentes,I.E JUVENIL NUEVO FUTURO,,,,,,,,
10/27/2020 9:12:56,"En clase de ética los estudiantes decoraron una carta, esta pasaba por todos los puestos y cada compañero le escribían algo positivo al dueño de la carta, fue muy positivo porque cada uno se dio cuenta lo que sus compañeros sentía por ellos. ",Lo que mi compañero ve,Resultados positivos,El desarrollo social del alumno,Habilidades de vida prácticas/pensando en futura empleabilidad,Reflexionar y comprender,Las restricciones de tiempo,Estudiantes y padres,Ayudar a los estudiantes a alcanzar los objetivos,Socialmente/en grupo,Liderado por el maestro,Necesidades emergentes,I.E CARACAS,,Felicidad,Casi nunca,Cómo resolver conflictos,,Mujer,,Primaria
10/27/2020 9:13:33,"La experiencia de la primera feria virtual de ciencia, arte y tecnología.",#innovación iecaracas,Resultados positivos,Estimular el aprendizaje y transmitir prácticas,Comprensión del mundo que los rodea,Experimentar y crear,"Recursos educativos (ej.. tecnología, fondos, etc.)",Maestros y rectores,Ayudar a los estudiantes a alcanzar los objetivos,Individual/independientemente,Liderado por el estudiante,Necesidades emergentes,I.E CARACAS,,Felicidad,De vez en cuando,El trabajo en equipo,,Hombre,40 a 49,Postgrado
10/27/2020 9:26:59,Desarrollo de procesos de transformación institucional que requieren trabajo colaborativo y del liderazgo compartido,#Innovación y Transformación de realidades,Resultados interesantes,Estimular el aprendizaje y transmitir prácticas,Habilidades de vida prácticas/pensando en futura empleabilidad,Experimentar y crear,Las restricciones de tiempo,La IE y la Secretaría,Abrir nuevos mundos para los estudiantes,Socialmente/en grupo,Liderado por el maestro,Necesidades emergentes,I.E CARACAS,,Felicidad,No se,Mi aporte a la humanidad/al mundo/a los demás,,Mujer,50 a 59,Postgrado
10/27/2020 9:27:04,Con los estudiantes se está abordando una estrategia que permitirá mejorar el sentido de pertenencia hacia los recursos físicos de la institución por parte de los estudiantes.,#yocuidomicolegio,Resultados mixtos,El desarrollo social del alumno,Comprensión del mundo que los rodea,Reflexionar y comprender,Habilidades y capacitación,Maestros y rectores,Ayudar a los estudiantes a alcanzar los objetivos,Socialmente/en grupo,Liderado por el maestro,Necesidades emergentes,I.E CARACAS,,Felicidad,Con Frecuencia,El cuidado del medio ambiente,,Mujer,40 a 49,Postgrado
10/27/2020 9:27:24,Reciclaje de basuras,Reciclaje,Resultados interesantes,Estimular el aprendizaje y transmitir prácticas,Comprensión del mundo que los rodea,Experimentar y crear,Habilidades y capacitación,Maestros y rectores,Ayudar a los estudiantes a alcanzar los objetivos,Socialmente/en grupo,Liderado por el maestro,Necesidades emergentes,I.E CARACAS,,Felicidad,Con Frecuencia,El trabajo en equipo,,Mujer,50 a 59,Postgrado
10/27/2020 9:31:26,"Imaginate que un niño, se esta inventando que le estan haciendo bulying sus compañeros,segun él,le quitan la lonchera en el descanso lo amenazan y le pegan en el salón,cosa que no sucede,esto me tiene muy preocupada.El niño llego asta el punto de tener crisis de nervios,no querer ir a estudiar y tenerlo que llevar al medico, se le inicia tratamiento sicilogico para ayudar al estudiante,su familia tambien esta bastante preocupada por los comportamientos que a presentado el niño últimamente,contando una serie de acontesimientos que no son acordes a la actitud de l niño en la escuela.",   # bullying en la escuela.,Resultados positivos,El desarrollo social del alumno,Habilidades de vida prácticas/pensando en futura empleabilidad,Reflexionar y comprender,Habilidades y capacitación,Estudiantes y padres,Dar soporte emocional a los estudiantes,Socialmente/en grupo,Liderado por el maestro,Necesidades emergentes,I.E CARACAS,,no estoy seguro,De vez en cuando,El trabajo en equipo,,Mujer,40 a 49,Primaria
10/27/2020 9:31:36,"Le dirá que sí, que en una experiencia nueva, que estoy buscando nuevas didácticas  para la enseñanza del idioma inglés. ","#""PLAYING I LEARN""",Resultados positivos,Estimular el aprendizaje y transmitir prácticas,Buenas bases de comprensión para futuros aprendizajes,Experimentar y crear,Las restricciones de tiempo,Maestros y rectores,Abrir nuevos mundos para los estudiantes,Socialmente/en grupo,Liderado por el maestro,Prácticas establecidas,I.E CARACAS,,Felicidad,Con Frecuencia,Mi aporte a la humanidad/al mundo/a los demás,,Mujer,50 a 59,Postgrado
10/27/2020 9:32:29,"Le comentaría que estoy muy contenta con las CDA,  Las Comunidades de Aprendizaje, que estamos logrando un trabajo colaborativo entre los maestros de Grado, cuando se reúnen, comparten experiencias, innovaciones y planean teniendo en cuenta las características de los estudiantes.","#  ""Trabajo Colaborativo, un logro Institucional""",Resultados mixtos,Estimular el aprendizaje y transmitir prácticas,Buenas bases de comprensión para futuros aprendizajes,Reflexionar y comprender,Habilidades y capacitación,La IE y la Secretaría,Abrir nuevos mundos para los estudiantes,Socialmente/en grupo,Liderado por el maestro,Necesidades emergentes,I.E CARACAS,,Felicidad,Con Frecuencia,El trabajo en equipo,,Mujer,60 a 69,Postgrado
10/27/2020 9:37:57,"Un niño de transición fue a comprar a la tienda escolar con un billete de $ 50.000. la señora de la tienda me llamo para informarme acerca de la situación. Dialogue con el niño y me dijo que su abuelita le había regalado el dinero para comprar. le explique que era mucho dinero y que debía hablar con su abuela para saber la verdad. El niño no reconoció que estaba mintiendo. llame a su abuela y ella me explicó que ese dinero lo ahorraba para pagar los servicios públicos. Lo más importante fue que logramos dialogar con el niño  la abuela y yo. Aborde la situación con el cuento ""Ramon Recuerda"". fue una experiencia donde la abuela quedo muy agradecida y el niño tuvo una oportunidad de aprender valores para la vida.",#laverdadesmejor.,Resultados positivos,El desarrollo social del alumno,Comprensión del mundo que los rodea,Reflexionar y comprender,Las restricciones de tiempo,Estudiantes y padres,Dar soporte emocional a los estudiantes,Individual/independientemente,Liderado por el estudiante,Necesidades emergentes,I.E CARACAS,,Felicidad,Casi nunca,Relación con los padres de familia,,Mujer,50 a 59,Universitario
10/27/2020 9:59:34,"En mi grupo los niños no se escuchan, hablan al mismo tiempo y hacen mucho ruido, situación que no favorece el proceso de enseñanza-aprendizaje en el aula.  Para mejorar esta situación yo he llevado al aula una campana y he explicado al grupo que cuando la suene todos vamos a hacer silencio y respirar unos segundos.  Luego continuamos con nuestro trabajo, de esa forma nos vamos a escuchar más fácilmente.  También propuse que cuando un niño o niña sintiera que era necesario tocar la campana, podía venir al frente y sonarla, eso sí, una sola vez y sin gritar ni llamar la atención, luego vuelve a su puesto.  Al principio, todos quería hacer sonar la campana, pero con el paso del tiempo, sólo la hacían sonar si veían que era necesario.  Finalmente, la campana está ahí presente pero su uso ya no es tan frecuente.  Aunque la campana no se usa tanto, por las nuevas condiciones del grupo, los niños antes de iniciar la jornada van y la buscan y la ponen al frente, sobre el escritorio de su docente.",Campana de autocontrol,Resultados positivos,El desarrollo social del alumno,Habilidades de vida prácticas/pensando en futura empleabilidad,,"Recursos educativos (ej.. tecnología, fondos, etc.)",Estudiantes y padres,Dar soporte emocional a los estudiantes,Socialmente/en grupo,Liderado por el maestro,Necesidades emergentes,I.E CARACAS,,Felicidad,Con Frecuencia,El trabajo en equipo,,Mujer,50 a 59,Universitario
10/27/2020 12:52:26,Les propuse a mis estudiantes desarrollar un juego de programación en una plataforma y se animaron a trabajarlo,Desarrollando pensamiento computacional,Resultados mixtos,Estimular el aprendizaje y transmitir prácticas,Habilidades de vida prácticas/pensando en futura empleabilidad,Experimentar y crear,"Recursos educativos (ej.. tecnología, fondos, etc.)",Estudiantes y padres,Abrir nuevos mundos para los estudiantes,Socialmente/en grupo,Liderado por el estudiante,Necesidades emergentes,I.E CARACAS,,Felicidad,Con Frecuencia,Tecnología y herramientas digitales,,Mujer,40 a 49,Postgrado
10/17/2020 9:34:04,"Le diría que si, que tengo experiencias virtuales interactivas que motivan a mis estudiantes.",#Aprende haciendo,Resultados positivos,Estimular el aprendizaje y transmitir prácticas,Buenas bases de comprensión para futuros aprendizajes,Experimentar y crear,"Recursos educativos (ej.. tecnología, fondos, etc.)",Estudiantes y padres,Ayudar a los estudiantes a alcanzar los objetivos,Socialmente/en grupo,Liderado por el maestro,Necesidades emergentes,I. E. PROGRESAR,,,,,,,,
10/19/2020 9:07:17,Le contaría la experiencia vívida después de aplicar mi trabajo de campo propuesto en mi proyecto de grado de la maestría. ,#aprendiendodelasfracciones,Resultados positivos,Estimular el aprendizaje y transmitir prácticas,Buenas bases de comprensión para futuros aprendizajes,Aplicar lo aprendido haciendo cosas concretas,"Recursos educativos (ej.. tecnología, fondos, etc.)",Maestros y rectores,Ayudar a los estudiantes a alcanzar los objetivos,Socialmente/en grupo,Liderado por el maestro,Prácticas establecidas,I. E. PROGRESAR,,,,,,,,
10/19/2020 9:07:32,Trabajo de la ONU con grado 11,#IEPMUN,Resultados positivos,Estimular el aprendizaje y transmitir prácticas,Comprensión del mundo que los rodea,Reflexionar y comprender,"Recursos educativos (ej.. tecnología, fondos, etc.)",Maestros y rectores,Ayudar a los estudiantes a alcanzar los objetivos,Socialmente/en grupo,Liderado por el estudiante,Prácticas establecidas,I. E. PROGRESAR,,,,,,,,
10/19/2020 9:08:03,Le diría que sí. ,#aprendertambienes,Resultados positivos,El desarrollo social del alumno,Comprensión del mundo que los rodea,Experimentar y crear,"Recursos educativos (ej.. tecnología, fondos, etc.)",La IE y la Secretaría,Abrir nuevos mundos para los estudiantes,Socialmente/en grupo,Liderado por el estudiante,Prácticas establecidas,I. E. PROGRESAR,,,,,,,,
10/19/2020 9:08:10,"Se llevó a cabo una intervención en la cual se hicieron parejas de trabajo en las cuales un estudiante avanzado en matemáticas apadrinaba a otro que tenía dificultades.
La intención era que se diera aprendizaje colaborativo. ",#DeaDosesMejor,Resultados positivos,Estimular el aprendizaje y transmitir prácticas,Buenas bases de comprensión para futuros aprendizajes,Reflexionar y comprender,Las restricciones de tiempo,Estudiantes y padres,Ayudar a los estudiantes a alcanzar los objetivos,Socialmente/en grupo,Liderado por el estudiante,Necesidades emergentes,I. E. PROGRESAR,,,,,,,,
